time,FED_rate,btc__current_supply_native_units,btc__market_cap_usd,btc__usd_4_00pm_new_york_price__index_value,btc__usd_11_00am_london_price__index_value,eth__current_supply_native_units,eth__market_cap_usd,eth__usd_11_00am_london_price__index_value,eth__usd_4_00pm_new_york_price__index_value,usdc__usd_4_00pm_new_york_price__index_value,usdc__usd_11_00am_london_price__index_value,usdc__current_supply_native_units,usdc__market_cap_usd,usdt__usd_4_00pm_new_york_price__index_value,usdt__usd_11_00am_london_price__index_value,xrp__current_supply_native_units,xrp__usd_11_00am_london_price__index_value,xrp__usd_4_00pm_new_york_price__index_value,xrp__market_cap_usd,ada__current_supply_native_units,ada__usd_11_00am_london_price__index_value,ada__usd_4_00pm_new_york_price__index_value,ada__market_cap_usd,sol__market_cap_estimated_usd,sol__usd_11_00am_london_price__index_value,sol__usd_4_00pm_new_york_price__index_value,doge__usd_4_00pm_new_york_price__index_value,doge__usd_11_00am_london_price__index_value,doge__current_supply_native_units,doge__market_cap_usd,trx__market_cap_usd,trx__current_supply_native_units,trx__usd_4_00pm_new_york_price__index_value,trx__usd_11_00am_london_price__index_value
02-01-2019,2.40,17459367.33,68060061858.0,3859.533923,3800.433515,104161888.1,16085342149.0,147.8064515,151.5469947,0.999707199,0.998623513,287461338.1,287709655.4,1.006662678,1.004089205,99991656350.0,0.360795507,0.370982657,37345537928.0,31112328562.0,0.042310349,0.044038763,1400813368.0,,,,0.002364308,0.002351562,117592000000.0,277859888.7,2006025658.0,100000000000.0,0.019748529,0.019362793
03-01-2019,2.40,17461304.83,66080363536.0,3793.669134,3840.21748,104179821.4,15320901933.0,149.3922499,147.7685354,1.000493292,1.000126597,287225741.5,287371925.2,1.007594907,1.007057393,99991655257.0,0.360836898,0.354116311,35430305452.0,31112328296.0,0.043143202,0.042572357,1314031312.0,,,,0.002304951,0.002339027,117606000000.0,269667458.1,1980555762.0,100000000000.0,0.020008303,0.01966166
04-01-2019,2.40,17463167.33,66840702441.0,3772.068662,3788.279468,104197653.3,15988335594.0,151.8586257,149.7445602,0.99884702,0.999715772,291582643.1,291795357.0,1.00863297,1.004160661,99991654385.0,0.353486467,0.352667224,35626317225.0,31112328040.0,0.042863422,0.042927958,1353571764.0,,,,0.002222069,0.002254646,117620000000.0,267966412.8,2133738500.0,100000000000.0,0.021427733,0.020025486
05-01-2019,2.40,17465204.83,66343570784.0,3837.680372,3824.790448,104215675.4,16080661808.0,155.1059784,156.8591613,1.000230995,1.001417257,291576209.9,291266506.0,1.00847992,1.009361148,99991653809.0,0.353996995,0.356750553,35087305108.0,31112327779.0,0.043103247,0.044807213,1379200854.0,,,,0.00225496,0.002253783,117634000000.0,265926767.3,2202745464.0,100000000000.0,0.022545759,0.021786607
06-01-2019,2.40,17466967.33,70671241074.0,4048.19752,3813.60602,104233482.7,16254198816.0,152.591493,155.9634573,0.999773771,1.000572444,302711563.7,302939746.8,1.011531929,1.005754891,99991653160.0,0.353742052,0.365523205,36545393696.0,31112327456.0,0.046177773,0.04886713,1523472433.0,,,,0.002312821,0.002246849,117647000000.0,267906092.0,2282623611.0,100000000000.0,0.022897921,0.022562089
07-01-2019,2.40,17468729.83,69892707336.0,4010.797127,4010.896367,104251524.4,15673813423.0,152.1782385,151.8128162,1.000380137,1.000733579,315305780.3,315272404.2,1.009601943,1.011589314,99991652442.0,0.364674967,0.365271794,36237291799.0,31112327131.0,0.048030709,0.048661043,1487024359.0,,,,0.002250652,0.002261836,117661000000.0,263873591.2,2328800696.0,100000000000.0,0.023390611,0.022895613
08-01-2019,2.40,17470842.33,69754483224.0,4011.810936,4005.053596,104269302.3,15541627571.0,149.0272387,149.6690833,1.000281883,1.000942011,324974464.4,325209747.5,1.008317707,1.008316396,99991651582.0,0.362468293,0.361710199,36370450675.0,31112326823.0,0.04844183,0.048508911,1502475733.0,,,,0.002227022,0.002247315,117675000000.0,262595908.5,2609767931.0,100000000000.0,0.025788671,0.025696901
09-01-2019,2.40,17472892.33,69965986980.0,4008.657251,4018.776925,104287324.8,15604497413.0,150.8405169,149.6128027,1.000459584,0.999570156,343019599.7,343134815.0,1.008651003,1.007710391,99991650813.0,0.366193539,0.364581657,36938550637.0,31112326474.0,0.050768381,0.052213097,1617522645.0,,,,0.002250239,0.002244456,117689000000.0,262752425.9,2821275773.0,100000000000.0,0.029218281,0.027301899
10-01-2019,2.40,17474842.33,63397040767.0,3631.762043,3783.970606,104305171.6,13239434978.0,131.4497873,127.6900824,1.000598036,1.000244042,355864957.2,356009601.2,1.010143157,1.009450134,99991649538.0,0.343967153,0.330979957,32789660297.0,31112326023.0,0.046034943,0.044170022,1364082620.0,,,,0.002094816,0.002104329,117703000000.0,248584176.6,2556175151.0,100000000000.0,0.026361608,0.028481653
11-01-2019,2.40,17476692.33,63338354100.0,3654.722389,3630.951047,104322969.2,13037301364.0,124.3909047,125.133569,1.001085544,1.001874257,359408458.4,359870741.2,1.008703109,1.011357846,99991648612.0,0.328874206,0.331349804,32715183661.0,31112325703.0,0.043188313,0.044375305,1352334820.0,,,,0.002069284,0.002071867,117717000000.0,246582366.9,2474347127.0,100000000000.0,0.025269987,0.024882131
